"group","level","Mean","SE","Median","CI05","CI95"
"Soil type","Peat",0.804617569963093,0.0146321166935998,0.804894613654042,0.780084116468531,0.828205807748231
"Soil type","Mineral/Compost",0.76169636834116,0.0158539744046363,0.761938392419476,0.735209903469389,0.787357099346963
"Herb type","Forb",0.820009399083142,0.0148068926090541,0.820326887282738,0.79512196084535,0.843813609597424
"Herb type","Grass",0.742881503592221,0.0160410703173154,0.743100024773711,0.716126166303562,0.768891299366223
"Species (Mineral/Compost)","ACMI",0.524889148631095,0.0390336572998951,0.524991397690705,0.460482555710315,0.58894666590886
"Species (Mineral/Compost)","SYER",0.869577828646335,0.0259829006853313,0.871054198110175,0.824447735070009,0.909667010375879
"Species (Mineral/Compost)","ARLU",0.847246966121907,0.0278233552871247,0.848641473464428,0.799203555229896,0.890529110107244
"Species (Mineral/Compost)","HEVI",0.863985324980163,0.0264651833537426,0.865441348355199,0.81808972231451,0.904909525628719
"Species (Mineral/Compost)","PASM",0.819480348511528,0.0298285800070493,0.820770920084822,0.768290038748523,0.866264366779366
"Species (Mineral/Compost)","BOGR",0.720876528227642,0.0350393231921211,0.72178242195241,0.661711441802169,0.776948827980657
"Species (Mineral/Compost)","NAVI",0.715460915126024,0.0352541255109025,0.716345104630464,0.655977223694405,0.771925923647018
"Species (Mineral/Compost)","HECO",0.58746253159204,0.0385566899841857,0.587823282511199,0.523404869023519,0.650288591250733
