"species","soil.type","plant.date","fertilized","Mean","SE","Median","CI05","CI95","observed"
"ACMI","MC","2025-09-11","NF",0.944166152150642,0.0383436812325837,0.952484636613516,0.869776756985712,0.99004439778818,TRUE
"ACMI","peat","2025-09-11","NF",0.972857808898886,0.0267698398789606,0.981048407328584,0.919039440493378,0.998665217174615,TRUE
"ACMI","S3","2025-09-11","NF",0.996587186642807,0.00381263236182377,0.997861990066764,0.988923583464728,0.999908032905824,FALSE
"ARLU","MC","2025-09-11","NF",0.599770510955409,0.0769774649688352,0.601470411770413,0.470111310116947,0.723612075013908,TRUE
"ARLU","peat","2025-09-11","NF",0.60608855142496,0.0762722332025491,0.607871926427664,0.477457518247464,0.72861649793655,TRUE
"ARLU","S3","2025-09-11","NF",0.996591643947953,0.00407853345534938,0.998022614299593,0.988373543629209,0.999942816800832,FALSE
"PASM","MC","2025-09-11","NF",0.398917927234235,0.105181248020731,0.395598157168522,0.23135016592038,0.577875367538243,TRUE
"PASM","peat","2025-09-11","NF",0.0941528282058167,0.0900830706734801,0.066829937694773,0.00399569555845735,0.277997043004556,TRUE
"PASM","S3","2025-09-11","NF",0.123736927409946,0.147057756503057,0.066253153451229,0.000575245240037444,0.441129039503237,FALSE
"BOGR","MC","2025-09-11","NF",0.925845548737503,0.0319671063221312,0.930115602106216,0.866891619409146,0.970193894846378,TRUE
"BOGR","peat","2025-09-11","NF",0.700958346040032,0.0682179877656587,0.704024207832781,0.583577551503184,0.807849338029417,TRUE
"BOGR","S3","2025-09-11","NF",0.57834464857503,0.161022863251512,0.584835708208796,0.302079198308676,0.832249555209291,FALSE
"NAVI","MC","2025-09-11","NF",0.82320514477199,0.170033224284905,0.876549553478112,0.469889727236867,0.995844468939926,TRUE
"NAVI","peat","2025-09-11","NF",0.152113180814885,0.0924463972055897,0.135554083002585,0.0325933343311111,0.328568246100502,TRUE
"NAVI","S3","2025-09-11","NF",0.374417426394365,0.260849939456381,0.336061799706701,0.0246131494191162,0.849035616967942,FALSE
"ACMI","MC","2025-07-10","NF",0.0711990952618828,0.089930281036735,0.0361943002968842,0.000350129399334881,0.261262744893461,FALSE
"ACMI","MC","2025-08-14","NF",0.0732518938313613,0.0891397092930978,0.0395545275002664,0.000528824233683072,0.260818917059276,FALSE
"ARLU","MC","2025-07-10","NF",0.00674740393608007,0.00800719413711229,0.00394697241708267,0.000117312005321513,0.0229071534659709,FALSE
"ARLU","MC","2025-08-14","NF",0.0226445580540769,0.0293646591229108,0.0115953108433944,0.000159428011611766,0.0827044917903648,FALSE
"PASM","MC","2025-07-10","NF",0.465974429006737,0.384791956691549,0.423011723520062,0.000381610797736472,0.998486997293824,FALSE
"PASM","MC","2025-08-14","NF",0.746691419464596,0.254094275576642,0.835652135307482,0.217090407155507,0.998594017527324,FALSE
"BOGR","MC","2025-07-10","NF",0.902629869459617,0.0407720718574146,0.907795376884446,0.827761317176244,0.959822369179465,TRUE
"BOGR","MC","2025-08-14","NF",0.991338683621046,0.0107962504963359,0.995246538791892,0.969493873002748,0.999899212296798,FALSE
"NAVI","MC","2025-07-10","NF",0.451684600077199,0.297373207611447,0.430800990072349,0.0254820904986168,0.941116423950178,FALSE
"NAVI","MC","2025-08-14","NF",0.725598285076003,0.168259126176319,0.751650978413235,0.408805755555143,0.952781594159736,TRUE
